Month,Animal,Intake Amt
2022-1,Dogs,1230
2022-2,Dogs,1198
2022-3,Dogs,1278
2022-4,Dogs,1288
2022-5,Dogs,1276
2022-6,Dogs,1354
2022-7,Dogs,1415
2022-8,Dogs,1453
2022-9,Dogs,1368
2022-10,Dogs,1334
2022-11,Dogs,1071
2022-12,Dogs,1435
2022-1,Cats,594
2022-2,Cats,538
2022-3,Cats,588
2022-4,Cats,690
2022-5,Cats,835
2022-6,Cats,923
2022-7,Cats,1003
2022-8,Cats,989
2022-9,Cats,848
2022-10,Cats,817
2022-11,Cats,559
2022-12,Cats,763
2022-1,Kittens,116
2022-2,Kittens,143
2022-3,Kittens,457
2022-4,Kittens,1125
2022-5,Kittens,1632
2022-6,Kittens,1278
2022-7,Kittens,1061
2022-8,Kittens,1186
2022-9,Kittens,1100
2022-10,Kittens,787
2022-11,Kittens,459
2022-12,Kittens,230
2022-1,Rabbits,56
2022-2,Rabbits,70
2022-3,Rabbits,67
2022-4,Rabbits,105
2022-5,Rabbits,161
2022-6,Rabbits,132
2022-7,Rabbits,92
2022-8,Rabbits,138
2022-9,Rabbits,58
2022-10,Rabbits,77
2022-11,Rabbits,61
2022-12,Rabbits,60
2022-1,Others,389
2022-2,Others,377
2022-3,Others,683
2022-4,Others,784
2022-5,Others,775
2022-6,Others,742
2022-7,Others,542
2022-8,Others,525
2022-9,Others,578
2022-10,Others,504
2022-11,Others,288
2022-12,Others,237
