Activity Type,Year,Sum of Value
Business-Type,2016,6476825000
Business-Type,2017,6791393000
Business-Type,2018,6909652000
Business-Type,2019,7708328000
Business-Type,2020,7868344000
Business-Type,2021,7856016000
Business-Type,2022,8775969000
Business-Type,2023,9615394000
Business-Type,2024,9496215000
Governmental,2016,6221896000
Governmental,2017,7148175000
Governmental,2018,7100830000
Governmental,2019,7347617000
Governmental,2020,8681596000
Governmental,2021,9482037000
Governmental,2022,7779395000
Governmental,2023,9949455000
Governmental,2024,11252146000
