Year,Activity Type,Sum of Revenue
2016,Business-Type,7647213000
2016,Governmental,7335758000
2017,Business-Type,7951532000
2017,Governmental,7315949000
2018,Business-Type,8245263000
2018,Governmental,7751119000
2019,Business-Type,9029847000
2019,Governmental,9158202000
2020,Business-Type,8655757000
2020,Governmental,8807796000
2021,Business-Type,9043264000
2021,Governmental,9320294000
2022,Business-Type,9716481000
2022,Governmental,10236446000
2023,Business-Type,11408924000
2023,Governmental,10224619000
2024,Business-Type,11523167000
2024,Governmental,10327941000
