Fiscal Year,Estimated Population,Personal Income (in thousands),Personal Income Per Capita,Median Age,Public School Enrollment,Unemployment Rate
2024,3814318,0,0,37.2,409518,0.059
2023,3804420,756659481,78302,37.9,454703,0.053
2022,3802725,984030633,76445,37.1,455530,0.046
2021,3853323,728772915,74141,37.0,439013,0.077
2020,4010684,678829092,68272,35.9,504468,0.12
2019,4013170,653482010,65094,35.9,516935,0.045
2018,4038313,628808732,62224,35.8,532102,0.051
2017,4021488,597597564,59058,35.8,547246,0.048
2016,3999237,578154382,57127,35.6,560991,0.056
2015,3972348,560484548,54298,35.0,582430,0.07
2014,3938037,525088691,51111,35.0,594891,0.087
2013,3901412,491016518,48283,34.7,598020,0.103
