Fiscal Year,Category,Type,Forecast Type,Sum of Amount
2007,General Fund,Budget,Actual,4307103347
2007,General Fund,Receipts,Actual,4382879384
2007,Special Funds,Budget,Actual,1863975521
2007,Special Funds,Receipts,Actual,1913885742
2008,General Fund,Budget,Actual,4437775963
2008,General Fund,Receipts,Actual,4362860636
2008,Special Funds,Budget,Actual,2039274064
2008,Special Funds,Receipts,Actual,1927131081
2009,General Fund,Budget,Actual,4553669803
2009,General Fund,Receipts,Actual,4415197055
2009,Special Funds,Budget,Actual,2154475834
2009,Special Funds,Receipts,Actual,2088036113
2010,General Fund,Budget,Actual,4399790115
2010,General Fund,Receipts,Actual,4415490846
2010,Special Funds,Budget,Actual,2086713936
2010,Special Funds,Receipts,Actual,2073517116
2011,General Fund,Budget,Actual,4375214167
2011,General Fund,Receipts,Actual,4297031765
2011,Special Funds,Budget,Actual,2115477154
2011,Special Funds,Receipts,Actual,2184814600
2012,General Fund,Budget,Actual,4385692435
2012,General Fund,Receipts,Actual,4389244249
2012,Special Funds,Budget,Actual,2192903976
2012,Special Funds,Receipts,Actual,2203776777
2013,General Fund,Budget,Actual,4550492118
2013,General Fund,Receipts,Actual,4667232881
2013,Special Funds,Budget,Actual,2284842038
2013,Special Funds,Receipts,Actual,2433247322
2014,General Fund,Budget,Actual,4866892324
2014,General Fund,Receipts,Actual,4953564201
2014,Special Funds,Budget,Actual,2290711540
2014,Special Funds,Receipts,Actual,2410742508
2015,General Fund,Budget,Actual,5138290071
2015,General Fund,Receipts,Actual,5244159217
2015,Special Funds,Budget,Actual,2401846769
2015,Special Funds,Receipts,Actual,2454648397
2016,General Fund,Budget,Actual,5410381123
2016,General Fund,Receipts,Actual,5335077321
2016,Special Funds,Budget,Actual,2426944884
2016,Special Funds,Receipts,Actual,2369292573
2017,General Fund,Budget,Actual,5576435342
2017,General Fund,Receipts,Actual,5628789837
2017,Special Funds,Budget,Actual,2488576363
2017,Special Funds,Receipts,Actual,2455834733
2018,General Fund,Budget,Actual,5826456014
2018,General Fund,Receipts,Actual,5819501980
2018,Special Funds,Budget,Actual,2772345122
2018,Special Funds,Receipts,Actual,2556459914
2019,General Fund,Budget,Actual,6190596070
2019,General Fund,Receipts,Actual,6236880711
2019,Special Funds,Budget,Actual,2968235062
2019,Special Funds,Receipts,Actual,2852774682
2020,General Fund,Budget,Actual,6569749538
2020,General Fund,Receipts,Actual,6374231317
2020,Special Funds,Budget,Actual,3355641182
2020,Special Funds,Receipts,Actual,2794828947
2021,General Fund,Budget,Actual,6687341876
2021,General Fund,Receipts,Actual,6369976691
2021,Special Funds,Budget,Actual,3215545457
2021,Special Funds,Receipts,Actual,2861673612
2022,General Fund,Budget,Actual,6863772328
2022,General Fund,Receipts,Actual,6955306419
2022,Special Funds,Budget,Actual,5012172013
2022,Special Funds,Receipts,Actual,4666536383
2023,General Fund,Receipts,Projected,7498050000
2023,Special Funds,Receipts,Projected,3454112000
2024,General Fund,Receipts,Projected,7560224000
2024,Special Funds,Receipts,Projected,3449999000
